DATE,CORESTICKM158SFRBATL
1967-01-01,2.2371097513333333
1967-04-01,3.5433658566666667
1967-07-01,3.4648810343333333
1967-10-01,4.3105993126666667
1968-01-01,5.3057190026666667
1968-04-01,5.2052493910000000
1968-07-01,5.0867614286666667
1968-10-01,7.3764761373333333
1969-01-01,7.0132369173333333
1969-04-01,6.1690987730000000
1969-07-01,6.8978082743333333
1969-10-01,5.6826227313333333
1970-01-01,9.4335379690000000
1970-04-01,6.7967556196666667
1970-07-01,6.6228423713333333
1970-10-01,6.7255626136666667
1971-01-01,2.1154797100000000
1971-04-01,5.7694576833333333
1971-07-01,4.3435187926666667
1971-10-01,2.7008716780000000
1972-01-01,3.5705837650000000
1972-04-01,3.4327335806666667
1972-07-01,2.8790854310000000
1972-10-01,2.7528103933333333
1973-01-01,2.6831654023333333
1973-04-01,4.1176835220000000
1973-07-01,6.3334025970000000
1973-10-01,8.3208059733333333
1974-01-01,8.7055103143333333
1974-04-01,11.3847028666666667
1974-07-01,14.2724913470000000
1974-10-01,11.8649521310000000
1975-01-01,9.0122387223333333
1975-04-01,6.8616686633333333
1975-07-01,6.6391744330000000
1975-10-01,8.4905935120000000
1976-01-01,7.6483147496666667
1976-04-01,5.0056296670000000
1976-07-01,7.4185550930000000
1976-10-01,4.8689493010000000
1977-01-01,7.2072523153333333
1977-04-01,8.2771527810000000
1977-07-01,7.2277248033333333
1977-10-01,6.8531622616666667
1978-01-01,7.4910506870000000
1978-04-01,9.2744954663333333
1978-07-01,10.8606851490000000
1978-10-01,8.7229746346666667
1979-01-01,9.9585597420000000
1979-04-01,11.6637991440000000
1979-07-01,13.7730677463333333
1979-10-01,15.7566836103333333
1980-01-01,16.3350039256666667
1980-04-01,17.4447866616666667
1980-07-01,3.8029526810000000
1980-10-01,14.1094527273333333
1981-01-01,6.8636865643333333
1981-04-01,12.7943781986666667
1981-07-01,15.5746112820000000
1981-10-01,4.7461269713333333
1982-01-01,3.1746602496666667
1982-04-01,12.7249097103333333
1982-07-01,3.7327811656666667
1982-10-01,-0.94761758100000000000
1983-01-01,4.4961584123333333
1983-04-01,4.3249403410000000
1983-07-01,4.0880705966666667
1983-10-01,4.9841831283333333
1984-01-01,5.2458388833333333
1984-04-01,4.8524141463333333
1984-07-01,5.4982028523333333
1984-10-01,4.6318589626666667
1985-01-01,4.8856929786666667
1985-04-01,5.2317839476666667
1985-07-01,4.4237325386666667
1985-10-01,5.6197753100000000
1986-01-01,5.6753601503333333
1986-04-01,4.4805032946666667
1986-07-01,4.1075900700000000
1986-10-01,4.3372406073333333
1987-01-01,4.1403594503333333
1987-04-01,4.1390729066666667
1987-07-01,4.5721026090000000
1987-10-01,4.3874068720000000
1988-01-01,4.7390681843333333
1988-04-01,5.0569774700000000
1988-07-01,4.7541967930000000
1988-10-01,4.6507667590000000
1989-01-01,4.5848270486666667
1989-04-01,5.0306817096666667
1989-07-01,4.4781996776666667
1989-10-01,5.2873033103333333
1990-01-01,6.0608255603333333
1990-04-01,5.7549378313333333
1990-07-01,6.7260306690000000
1990-10-01,4.1933788776666667
1991-01-01,5.3628362160000000
1991-04-01,3.6145549686666667
1991-07-01,4.7181520736666667
1991-10-01,3.7991861680000000
1992-01-01,3.8393478370000000
1992-04-01,3.1601963063333333
1992-07-01,2.6698804643333333
1992-10-01,4.3473303273333333
1993-01-01,3.2652714466666667
1993-04-01,4.0816435430000000
1993-07-01,2.9587745526666667
1993-10-01,3.9413364693333333
1994-01-01,3.3445684613333333
1994-04-01,2.5963258166666667
1994-07-01,3.1987670290000000
1994-10-01,2.5378955420000000
1995-01-01,4.4297978533333333
1995-04-01,3.2451158526666667
1995-07-01,3.2796727123333333
1995-10-01,2.6557902763333333
1996-01-01,3.4364348970000000
1996-04-01,2.9056269650000000
1996-07-01,3.3199630260000000
1996-10-01,2.6114048986666667
1997-01-01,2.6420456343333333
1997-04-01,2.7975843720000000
1997-07-01,2.1887891020000000
1997-10-01,2.9227986166666667
1998-01-01,2.8264449906666667
1998-04-01,2.5089254146666667
1998-07-01,2.1593210836666667
1998-10-01,2.2927816353333333
1999-01-01,2.0251867666666667
1999-04-01,1.8516828000000000
1999-07-01,2.1708897333333333
1999-10-01,2.6865658666666667
2000-01-01,3.3016777666666667
2000-04-01,2.7156694666666667
2000-07-01,2.9433887666666667
2000-10-01,2.9858245000000000
2001-01-01,3.2460701666666667
2001-04-01,3.6784351333333333
2001-07-01,3.6908205333333333
2001-10-01,3.6911815000000000
2002-01-01,2.8670173000000000
2002-04-01,2.7635197000000000
2002-07-01,2.8351831666666667
2002-10-01,2.7447991333333333
2003-01-01,2.1737766000000000
2003-04-01,1.3430789000000000
2003-07-01,2.4841863333333333
2003-10-01,1.9116871333333333
2004-01-01,2.8179224666666667
2004-04-01,2.3100661666666667
2004-07-01,1.9269524000000000
2004-10-01,2.2048676666666667
2005-01-01,2.5463220333333333
2005-04-01,2.1249100033333333
2005-07-01,2.4676967666666667
2005-10-01,2.7459492333333333
2006-01-01,2.9958646333333333
2006-04-01,3.9379752333333333
2006-07-01,3.1738471666666667
2006-10-01,2.3977251333333333
2007-01-01,2.9356888333333333
2007-04-01,2.0221987666666667
2007-07-01,2.5854644333333333
2007-10-01,3.3136517333333333
2008-01-01,2.8418219666666667
2008-04-01,3.0165112666666667
2008-07-01,3.1400506000000000
2008-10-01,1.5363384333333333
2009-01-01,2.1323338000000000
2009-04-01,1.5601741666666667
2009-07-01,1.23777293333333333333
2009-10-01,0.37784177000000000000
2010-01-01,0.55671158333333333333
